timestamp,sensor_value,failure_flag
2024-01-01 00:00:00,0.55,0
2024-01-01 01:00:00,0.486,0
2024-01-01 02:00:00,0.565,0
2024-01-01 03:00:00,0.652,0
2024-01-01 04:00:00,0.477,0
2024-01-01 05:00:00,0.477,1
2024-01-01 06:00:00,0.658,0
2024-01-01 07:00:00,0.577,0
2024-01-01 08:00:00,0.453,0
2024-01-01 09:00:00,0.554,0
2024-01-01 10:00:00,0.454,0
2024-01-01 11:00:00,0.453,0
2024-01-01 12:00:00,0.524,0
2024-01-01 13:00:00,0.309,0
2024-01-01 14:00:00,0.328,0
2024-01-01 15:00:00,0.444,0
2024-01-01 16:00:00,0.399,0
2024-01-01 17:00:00,0.531,0
2024-01-01 18:00:00,0.409,0
2024-01-01 19:00:00,0.359,0
2024-01-01 20:00:00,0.647,0
2024-01-01 21:00:00,0.477,0
2024-01-01 22:00:00,0.507,0
2024-01-01 23:00:00,0.358,0
2024-01-02 00:00:00,0.446,0
2024-01-02 01:00:00,0.511,0
2024-01-02 02:00:00,0.385,0
2024-01-02 03:00:00,0.538,0
2024-01-02 04:00:00,0.44,0
2024-01-02 05:00:00,0.471,0
2024-01-02 06:00:00,0.44,0
2024-01-02 07:00:00,0.685,0
2024-01-02 08:00:00,0.499,0
2024-01-02 09:00:00,0.394,0
2024-01-02 10:00:00,0.582,0
2024-01-02 11:00:00,0.378,0
2024-01-02 12:00:00,0.521,0
2024-01-02 13:00:00,0.304,0
2024-01-02 14:00:00,0.367,0
2024-01-02 15:00:00,0.52,0
2024-01-02 16:00:00,0.574,0
2024-01-02 17:00:00,0.517,0
2024-01-02 18:00:00,0.488,0
2024-01-02 19:00:00,0.47,0
2024-01-02 20:00:00,0.352,0
2024-01-02 21:00:00,0.428,0
2024-01-02 22:00:00,0.454,0
2024-01-02 23:00:00,0.606,0
